주소,경도,위도,수용가능인원수,대피소 lenght,대피소구분,대피소 height,도로명주소,관리기관
부산광역시 해운대구 중동 974-1,129.1718736,35.1606218,4000,590,공터,26,부산광역시 해운대구 달맞이길 64(중동),해운대구
부산광역시 해운대구 우동 710-1,129.152049,35.154811,20000,460,공터,40,부산 해운대구 우동 710-1,해운대구
부산광역시 해운대구 중동 1378-95,129.1637,35.1631,2475,520,공공건축물,15,부산광역시 해운대구 중동2로 11(중동),해운대구
부산광역시 수영구 남천동 148-15,129.1128912,35.1453222,6924,410,공공건축물,21,부산광역시 수영구 남천동로 100(남천동),수영구
부산광역시 수영구 남천동 151,129.1123216,35.1424342,66012,370,민간건축물,28,부산광역시 수영구 남천동로 33(남천동),수영구
부산광역시 수영구 광안동 154,129.1171002,35.1571834,3400,450,학교운동장,11,부산광역시 수영구 광안로35번길 38(광안동),수영구
부산광역시 해운대구 중동 1415-48,129.1574621,35.1591087,727,50,공공건축물,11,부산 해운대구 중동 1415-48,해운대구
부산광역시 해운대구 송정동 산52-1,129.2056614,35.1798417,4000,100,공터,12,부산 해운대구 송정동 산52-1,해운대구
부산광역시 해운대구 송정동 200-3,129.2036819,35.1835905,1890,500,공공건축물,7,부산광역시 해운대구 송정중앙로21번길 20(송정동),해운대구
부산광역시 수영구 민락동 186,129.1180122,35.1569729,3670,445,학교운동장,11,부산 수영구 광안동 154-1,수영구
부산광역시 수영구 민락동 327-2,129.1254473,35.1621787,4947,650,공터,40,부산광역시 수영구 광남로257번길 58(민락동),수영구
부산광역시 수영구 민락동 3,129.1267991,35.1608937,8797,600,학교운동장,29,부산광역시 수영구 광남로257번길 12(민락동),수영구
부산광역시 기장군 기장읍 대변리 266-5,129.231306,35.222954,270,60,도로변,15,부산 기장군 기장읍 대변리 266-5,기장군청
부산광역시 기장군 일광면 동백리 251-5,129.2566073,35.285179,650,320,공터,17,부산 기장군 일광면 동백리 241-3 ,기장군청
부산광역시 기장군 기장읍 시랑리 170-14,129.2212906,35.1946844,500,500,도로변,20,부산 기장군 기장읍 시랑리 408-1 ,기장군청
부산광역시 기장군 기장읍 시랑리 708,129.2251825,35.1976062,200,300,도로변,15,부산 기장군 기장읍 시랑리 704 ,기장군청
부산광역시 기장군 기장읍 연화리 507,129.2222428,35.2154544,300,500,도로변,17,부산 기장군 기장읍 연화리 507,기장군청
부산광역시 강서구 대항동 산13-26,128.8299644,35.0118219,6053,420,도로변,15,부산 강서구 대항동 산 13-26,강서구
부산광역시 강서구 대항동 396-2,128.8275746,35.0145042,463,250,도로변,35,부산 강서구 대항동 382-2,강서구
부산광역시 강서구 대항동 산13-29,128.8250935,35.0098118,397,350,도로변,25,부산 강서구 대항동 산 13-29,강서구
부산광역시 기장군 기장읍 시랑리 689,129.2087057,35.1841057,400,550,공터,20,부산 기장군 기장읍 시랑리 690-3 ,기장군청
부산광역시 기장군 일광면 신평리 112,129.2539358,35.2967035,941,600,,100,,
